community_id,node_label,preferredName,queryItem,stringId
1,RRD2,RRD2,RRD2,4932.YPL152W
1,RRN10,RRN10,RRN10,4932.YBL025W
1,RRN11,RRN11,RRN11,4932.YML043C
1,RRN5,RRN5,RRN5,4932.YLR141W
1,RRN6,RRN6,RRN6,4932.YBL014C
1,RRN7,RRN7,RRN7,4932.YJL025W
1,RRN9,RRN9,RRN9,4932.YMR270C
1,RSC1,RSC1,RSC1,4932.YGR056W
1,RSC2,RSC2,RSC2,4932.YLR357W
1,RSC3,RSC3,RSC3,4932.YDR303C
1,RSC30,RSC30,RSC30,4932.YHR056C
1,RSC4,RSC4,RSC4,4932.YKR008W
1,RSC58,RSC58,RSC58,4932.YLR033W
1,RSC6,RSC6,RSC6,4932.YCR052W
1,RSC8,RSC8,RSC8,4932.YFR037C
1,RSC9,RSC9,RSC9,4932.YML127W
1,RTF1,RTF1,RTF1,4932.YGL244W
1,RTS1,RTS1,RTS1,4932.YOR014W
1,RTT102,RTT102,RTT102,4932.YGR275W
1,RTT109,RTT109,RTT109,4932.YLL002W
1,RVB1,RVB1,RVB1,4932.YDR190C
1,RVB2,RVB2,RVB2,4932.YPL235W
1,RVS161,RVS161,RVS161,4932.YCR009C
1,RVS167,RVS167,RVS167,4932.YDR388W
1,SAE3,SAE3,SAE3,4932.YHR079C-A
1,SAP155,SAP155,SAP155,4932.YFR040W
1,SAP185,SAP185,SAP185,4932.YJL098W
1,SAP190,SAP190,SAP190,4932.YKR028W
1,SAS2,SAS2,SAS2,4932.YMR127C
1,SAS3,SAS3,SAS3,4932.YBL052C
1,SAS4,SAS4,SAS4,4932.YDR181C
1,SAS5,SAS5,SAS5,4932.YOR213C
1,SCC2,SCC2,SCC2,4932.YDR180W
1,SCC4,SCC4,SCC4,4932.YER147C
1,SDC1,SDC1,SDC1,4932.YDR469W
1,SEC10,SEC10,SEC10,4932.YLR166C
1,SEC15,SEC15,SEC15,4932.YGL233W
1,SEC20,SEC20,SEC20,4932.YDR498C
1,SEC21,SEC21,SEC21,4932.YNL287W
1,SEC26,SEC26,SEC26,4932.YDR238C
1,SEC27,SEC27,SEC27,4932.YGL137W
1,SEC28,SEC28,SEC28,4932.YIL076W
1,SEC3,SEC3,SEC3,4932.YER008C
1,SEC39,SEC39,SEC39,4932.YLR440C
1,SEC4,SEC4,SEC4,4932.YFL005W
1,SEC5,SEC5,SEC5,4932.YDR166C
1,SEC6,SEC6,SEC6,4932.YIL068C
1,SEC8,SEC8,SEC8,4932.YPR055W
1,SEC9,SEC9,SEC9,4932.YGR009C
1,SET1,SET1,SET1,4932.YHR119W
1,SFH1,SFH1,SFH1,4932.YLR321C
1,SGF11,SGF11,SGF11,4932.YPL047W
1,SGF29,SGF29,SGF29,4932.YCL010C
1,SGF73,SGF73,SGF73,4932.YGL066W
1,SGS1,SGS1,SGS1,4932.YMR190C
1,SGT1,SGT1,SGT1,4932.YOR057W
1,SGV1,SGV1,SGV1,4932.YPR161C
1,SHG1,SHG1,SHG1,4932.YBR258C
1,SIN4,SIN4,SIN4,4932.YNL236W
1,SIR2,SIR2,SIR2,4932.YDL042C
1,SIR3,SIR3,SIR3,4932.YLR442C
1,SIR4,SIR4,SIR4,4932.YDR227W
